"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Adhoc","1950","9795040","2192572","6.95","6.91",,,,
"World","1950","164562872","38212691","26.7","25.7",,,,
"Adhoc","1951","9969562","2183622","7.03","7.36",,,,
"World","1951","173737630","39969203","31.7","29",,,,
"Adhoc","1952","10051483","2184499","7.18","7.67",,,,
"World","1952","181602585","41379815","32.2","29.1",,,,
"Adhoc","1953","10121566","2204468","16.18","17.48",,,,
"World","1953","187776866","42380071","50.4","48.4","213.546223235158",,,
"Adhoc","1954","10254971","2250213","21.83","23.34",,,,
"World","1954","192272675","42974746","51","49.5","211.302417456751",,,"6199499"
"Adhoc","1955","10497703","2324250","21.96","23.08",,,,
"World","1955","195893014","43186237","53","52","209.599396346814","134.367955585219",,"6281400"
"Adhoc","1956","10774543","2410387","24.96","25.08",,,,
"World","1956","201012552","42872291","54.6","55","204.723620610716","130.740783652904",,"6172543"
"Adhoc","1957","11104124","2514990","25.69","25.11",,,,
"World","1957","203603019","42499173","55.3","56.6","200.005047919913","127.885020671158",,"6115865"
"Adhoc","1958","11462328","2625251","25.39","24.34",,,,
"World","1958","205006879","42212957","56.2","58.1","195.353530150622","124.953573267725","9389961","6063558"
"Adhoc","1959","11817547","2727688","25.1","23.76",,,,
"World","1959","206572292","42221681","57.1","59.4","191.335246893861","122.465305267727","9325079","6039482"
"Adhoc","1960","12162621","2810413","27.38","25.88",,,,
"World","1960","209246130","42735170","57.8","60.1","187.957092355744","120.300726984536","9304863","6035675"
"Adhoc","1961","12631992","2847172","33.27","32.51",,,,
"World","1961","210967959","43862650","58.9","60.2","185.432069939801","118.781288868869","9336757","6066428"
"Adhoc","1962","12922753","2866485","33.32","33.1",,,,
"World","1962","214931972","45520355","59.1","59.4","182.399538339449","116.803792221459","9342290","6072546"
"Adhoc","1963","13109557","2881051","40.57","41",,,,
"World","1963","220515348","47462392","59.2","58.7","180.787710060912","115.768445520408","9422995","6125176"
"Adhoc","1964","13307974","2911555","42.95","43.84",,,,
"World","1964","226502347","49353419","62.1","60.9","177.833573797275","113.227815809461","9419480","6089709"
"Adhoc","1965","13616772","2974263","45.88","47.1",,,,
"World","1965","232141259","50946872","61.8","60.2","177.411903525584","112.63318566401","9554176","6150767"
"Adhoc","1966","13962557","3063734","62.86","63.92","252.727261209637","146.171044999038",,
"World","1966","239170873","51906513","62.2","60.8","172.315839133516","109.937564317636","9406142","6084838"
"Adhoc","1967","14377209","3186216","71.07","71.4","251.957617107558","145.109410509186",,"531301"
"World","1967","244360673","52594894","62.4","61.2","170.03829942769","108.439388184249","9404684","6075109"
"Adhoc","1968","14850963","3326445","74.42","74.06","245.221110068277","140.878353673704",,"529343"
"World","1968","248144744","53053943","64.5","63.6","167.149008777502","106.584045247202","9351975","6032359"
"Adhoc","1969","15336944","3464482","85.27","84.32","241.835637825012","138.905909656889",,"535582"
"World","1969","251344442","53368696","91.2","91.8","147.420207334343","94.9680478144211","8283050","5417035"
"Adhoc","1970","15816718","3586738","85.03","83.85","238.387538007027","137.396848471633",,"543049"
"World","1970","254654269","53620621","93.2","93.3","145.460153937677","93.7217872364393","8261473","5386919"
"Adhoc","1971","16413266","3674900","84.68","84.15","236.032191480216","135.994910884743","936254","550447"
"World","1971","258303851","53736604","95.1","95","145.631363849815","93.2084351755716","8324173","5377230"
"Adhoc","1972","16878590","3751259","86.8","86.92","234.898623187266","134.531344179388","953847","557083"
"World","1972","260758344","53835296","95.5","95.4","138.892053286019","90.0344908462538","7960818","5201956"
"Adhoc","1973","17258463","3820411","87.26","87.95","231.119259677525","132.872484520867","959384","562508"
"World","1973","262394928","53894692","95.5","95.3","136.110488070523","88.2985014035036","7810750","5102890"
"Adhoc","1974","17623069","3890449","88.83","90.02","228.605876608398","131.379816942331","969898","568363"
"World","1974","263437626","53895196","96.9","96.8","132.614632668119","86.1811405022299","7606009","4974153"
"Adhoc","1975","18035620","3968693","89.23","90.86","225.916867941427","129.962543535083","979396","574414"
"World","1975","264185017","53841810","97.3","97.2","130.021143963181","84.4681822703817","7449838","4868147"
"Adhoc","1976","18509229","4047057","89.77","91.54","223.175550898679","128.46784975927","988622","580218"
"World","1976","264655498","53645532","97.4","97.3","127.03603971417","82.5638365721404","7272518","4754990"
"Adhoc","1977","18939398","4134958","90.22","92.05","220.192588704135","126.802186880902","996929","585518"
"World","1977","264483702","53424338","97.4","97.4","123.978905994292","80.6461481710411","7098829","4650398"
"Adhoc","1978","19356739","4232618","90.56","92.37","216.863861619504","124.965095244136","1004003","590372"
"World","1978","264170556","53324870","97.6","97.7","121.098813491823","78.8584123189364","6950784","4565043"
"Adhoc","1979","19785168","4339692","92.89","94.59","215.30461452075","124.066395968145","1020632","600121"
"World","1979","264451793","53535741","98.3","98.3","118.136001722784","77.0642409648373","6815915","4491898"
"Adhoc","1980","20252417","4455770","93.15","94.55","211.564132759208","121.988547442531","1026537","604329"
"World","1980","265897434","54178792","98.7","98.8","115.119113708968","75.1930248558021","6698258","4427889"
"Adhoc","1981","20792823","4573248","93.53","94.07","207.831218007733","119.869589346142","1032621","608485"
"World","1981","267603679","55258193","99.1","99.1","111.90707666401","73.2358976748908","6589958","4372626"
"Adhoc","1982","21318543","4703249","93.55","93.44","204.185581066851","117.788271535225","1039037","612594"
"World","1982","271008354","56725840","99.3","99.2","108.785967861484","71.3201850022666","6504187","4329644"
"Adhoc","1983","21846194","4841715","93.39","92.82","202.568666680217","116.985851665181","1056387","623117"
"World","1983","275692980","58429108","99.2","99.2","105.817588408571","69.5175317792547","6436850","4297240"
"Adhoc","1984","22396600","4983757","95.69","94.85","199.323586738493","115.139345222234","1063817","627603"
"World","1984","281004715","60152355","99.6","99.6","102.967935545424","67.8218610580161","6378304","4269598"
"Adhoc","1985","23008482","5126064","100","100","194.053357152718","111.90272788593","1058472","623958"
"World","1985","286575680","61718718","100","100","100.124606475649","66.1411706518902","6310696","4234060"
"Adhoc","1986","23752867","5236240","100","100","188.386197169103","108.752057566362","1050667","620281"
"World","1986","294257220","63032219","100","100","97.5204026342366","64.6841060031294","6239333","4196969"
"Adhoc","1987","24384729","5349642","100","100","185.412114426576","107.107242716681","1058208","625058"
"World","1987","300669408","64209508","100","100","95.4240275011123","63.5275109972188","6173469","4159455"
"Adhoc","1988","24966211","5468681","100","100","182.473144301163","105.459772377721","1065576","629782"
"World","1988","305781066","65072756","100","100","93.5677961070717","62.4691492379955","6093041","4107251"
"Adhoc","1989","25571196","5598146","100","100","179.493754555615","103.832802135746","1072824","634757"
"World","1989","309469769","65418655","100","100","91.9385345004599","61.546087053586","5997281","4043847"
"Adhoc","1990","26268354","5742775","100","100","176.479641844929","102.201079120883","1080009","639834"
"World","1990","311803343","65137732","100","100","90.4979522505797","60.6894509324044","5886648","3967615"
"Adhoc","1991","27038226","5875768","100","100","173.40871287395","100.566699016137","1086981","645030"
"World","1991","314778106","64037759","100","100","89.2524662742252","59.8993496771846","5767906","3883734"
"Adhoc","1992","27765926","6026607","100","100","170.300578177484","98.941057911533","1093823","650349"
"World","1992","313751914","62365274","100","100","88.1234495801426","59.1508991328671","5645255","3797822"
"Adhoc","1993","28482215","6191581","100","100","167.483896911575","97.3648542175442","1102637","655923"
"World","1993","310104260","60438684","100","100","86.9995357001015","58.3737976956647","5521329","3712248"
"Adhoc","1994","29207499","6363404","100","100","166.748147956903","96.9164875166748","1127279","669238"
"World","1994","305768740","58724215","100","100","86.0188838957331","57.6387945203082","5413490","3635941"
"Adhoc","1995","29972976","6536010","100","100","160.084732941843","93.6854584760468","1106027","662332"
"World","1995","302185274","57576304","100","100","84.2088128255198","56.4845605310112","5261825","3541885"
"Adhoc","1996","30910966","6714748","100","100","156.162491217582","91.6520878410872","1104837","663625"
"World","1996","296490461","57170432","100","100","82.5175526411702","55.3387451232862","5131136","3458078"
"Adhoc","1997","31770580","6896613","100","100","151.88574873953","89.4255483125056","1099808","662540"
"World","1997","293471463","57351074","100","100","80.6120403287716","54.0998961363094","4998743","3375276"
"Adhoc","1998","32590153","7080012","100","100","147.313550171961","87.0334948715909","1091057","659346"
"World","1998","292509839","57956150","100","100","78.549337932178","52.7541363827985","4864713","3290207"
"Adhoc","1999","33411226","7262706","100","100","142.404487409465","84.4462413737945","1078105","653684"
"World","1999","292325957","58717240","100","100","76.1859721619459","51.2413308669856","4717946","3197991"
"Adhoc","2000","34276993","7442178","100","100","137.160143056452","81.6847164164401","1060646","645664"
"World","2000","292069040","59428580","100","100","73.6675476018832","49.6889722231002","4566828","3106350"
"Adhoc","2001","35257030","7594925","100","100","131.693989366206","78.78288013663","1039650","635552"
"World","2001","293114302","60022591","100","100","71.0617155218997","48.0804847156551","4415473","3014144"
"Adhoc","2002","36119018","7746089","100","100","126.108019751545","75.8546960168665","1016018","624309"
"World","2002","294158635","60591897","100","100","68.4121265220676","46.44542447102","4265807","2923077"
"Adhoc","2003","36911477","7897585","100","100","120.580555856011","72.9496556379128","991232","612376"
"World","2003","295169941","61120846","100","100","65.733454818511","44.7967415188027","4117831","2833337"
"Adhoc","2004","37695757","8052836","100","100","115.184975830845","70.1231106261718","965924","600222"
"World","2004","296440431","61606969","100","100","63.2502337750455","43.1455268746618","3984429","2744763"
"Adhoc","2005","38532889","8214156","100","100","110.025736242928","67.4704300149907","941006","588658"
"World","2005","298243166","62052721","100","100","60.454595307928","41.4890658601847","3832248","2656298"
"Adhoc","2006","39447477","8371098","100","100","105.173137044076","64.988736420155","917041","577639"
"World","2006","301860624","62388838","100","100","57.9470676573394","39.9233380073749","3698282","2573059"
"Adhoc","2007","40304561","8536708","100","100","100.531492271136","62.5783775155734","893148","566276"
"World","2007","304333230","62659686","100","100","55.5680133010373","38.4610145823506","3571010","2495101"
"Adhoc","2008","41125335","8704899","100","100","96.1222731113521","60.3844726844483","869602","555908"
"World","2008","306167147","62905641","100","100","53.456326146725","37.1163379588427","3458973","2422770"
"Adhoc","2009","41915712","8867847","100","100","91.9870284168688","58.3779724676922","846847","546348"
"World","2009","307980931","63190212","100","100","50.9837983197081","35.6722670412633","3318525","2341228"
