"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"Adhoc","1950","1298490","314667","0","0",,,,,,
"World","1950","341786649","81494561","22.1","19.7",,,,,,
"Adhoc","1951","1305508","316918","0","0",,,,,,
"World","1951","354769874","83002308","28.5","26",,,,,,
"Adhoc","1952","1313394","323560","0","0",,,,,,
"World","1952","368211261","86456843","31.2","28.9",,,,,,
"Adhoc","1953","1326373","330288","0","0",,,,,,
"World","1953","380275266","87901777","49.7","48.9",,,,,,
"Adhoc","1954","1344133","336357","0","0",,,,,,
"World","1954","392688608","89873793","52.7","52.5","215.409829310533","136.635023577847","25.1819838640787",,,
"Adhoc","1955","1370645","343200","0","0",,,,,,
"World","1955","403367237","91851553","54.9","54.9","211.201564779047","134.651715226263","27.6887345404063",,"13153759","2796194"
"Adhoc","1956","1403185","350560","0","0",,,,,,
"World","1956","412841033","92463691","55.7","56.5","207.449002097174","131.713822864836","27.3936433738027",,"12982213","2767554"
"Adhoc","1957","1436754","357741","100","100","368.19661035821","262.362637010397","27.1674861483809",,,
"World","1957","422958574","95327053","56.7","57","204.025653991147","130.376201954562","30.1386610772538",,"13105177","3169725"
"Adhoc","1958","1471465","365265","100","100","362.068536367921","258.93742995553","26.6154022752082",,"108015","11697"
"World","1958","430576402","95802676","60.9","61.5","199.742424363899","127.375315832846","29.8527562884611",,"13020359","3102565"
"Adhoc","1959","1505734","372795","100","100","356.445237823317","255.809343534001","26.3543862805973",,"108664","11784"
"World","1959","434260062","93378081","61.8","64.3","194.51263878436","124.108176268224","29.5933727672281","19519862","12450610","2998304"
"Adhoc","1960","1544491","381389","100","100","350.550811097808","252.416153821124","26.0497081015998",,"109290","11879"
"World","1960","433581372","92367828","63.4","66.4","190.289500330693","121.81458940094","31.2371649174523","19007205","12065385","3174073"
"Adhoc","1961","1585522","390526","100","100","345.193254417785","249.240234690339","26.4971886730716",,"110181","12335"
"World","1961","431727011","91875859","65","68","186.303183885595","119.273010509455","31.4584174633216","18542782","11761115","3152815"
"Adhoc","1962","1629069","400424","100","100","340.16288192029","246.425987075528","26.0692323151441","153287","111374","12410"
"World","1962","437858069","99391096","65.5","63.9","184.69768323153","119.297072942652","30.5846929690587","18836029","12247004","3395051"
"Adhoc","1963","1674930","411001","100","100","334.982342668731","243.594715783493","25.6645847682996","154382","112706","12507"
"World","1963","450214071","107938317","65.1","60","183.452239987468","118.25358647925","31.2017888570158","19751488","13270501","3709126"
"Adhoc","1964","1722674","421832","100","100","329.747572685277","240.625212237298","24.4224201798904","155491","113995","12177"
"World","1964","465451514","108656854","67.2","63.4","180.363759812226","115.331049571158","30.1553359582017","19927560","13283074","3516750"
"Adhoc","1965","1772400","432900","100","100","324.479101546251","237.657739457576","24.1992034153942","156581","115265","12347"
"World","1965","482301458","108199605","65.8","64.2","179.845532678689","114.733665790811","31.0557377138396","20058669","13079820","3633902"
"Adhoc","1966","1825161","444936","100","100","319.532520545591","234.973925666783","24.1686266562253","157985","116817","12646"
"World","1966","497729573","107960397","65.6","65.7","176.127624861326","113.120318395086","31.2195236521211","19871605","12884233","3635591"
"Adhoc","1967","1879100","457336","100","100","314.840118229978","232.389061497037","23.6884236917564","159611","118510","12706"
"World","1967","508301148","107969386","65.1","66.9","173.233418761396","110.754649923511","32.7685261960111","19696586","12621849","3806596"
"Adhoc","1968","1936078","470442","100","100","310.011140165322","229.572233287898","23.4454642450707","161180","120119","12902"
"World","1968","513565900","111242450","67.2","67.7","174.302438764798","111.720300157531","32.7214703107281","20101165","12948280","3960927"
"Adhoc","1969","1994941","483838","100","100","304.920851528628","226.610195895051","37.8028621003284","162628","121684","21336"
"World","1969","517493068","113154511","94.7","94.8","154.103494275678","101.36569907203","48.7672769884694","18004948","12023222","5928204"
