"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Adhoc",1950,630044,139668,0,0,,,,
"World",1950,170767996,39469315,20.6,19.7,,,,
"Adhoc",1951,641205,142077,0,0,,,,
"World",1951,180230437,41531777,26.3,23.8,,,,
"Adhoc",1952,650455,144881,0,0,,,,
"World",1952,188705615,43198537,26.7,23.8,,,,
"Adhoc",1953,659256,148149,0,0,,,,
"World",1953,195482272,44379602,28.9,26.2,,,,
"Adhoc",1954,669975,151889,0,0,,,,
"World",1954,200434702,45071597,47,45.6,,,,
"Adhoc",1955,685057,156076,0,0,,,,
"World",1955,204364373,45296410,51.5,50.5,211.08575066032,146.848488773763,,
"Adhoc",1956,706995,159609,0,0,,,,
"World",1956,210064699,44902355,52.7,53,206.297523397439,143.571660814944,,7141506
"Adhoc",1957,725210,163637,0,0,,,,
"World",1957,212800680,44413793,53.3,54.6,201.836511189146,140.596399672027,,7079733
"Adhoc",1958,741811,168055,0,0,,,,
"World",1958,214109231,44003114,55,56.8,198.451212272431,138.508081349084,,7079159
"Adhoc",1959,759098,172754,0,0,,,,
"World",1959,215562873,43915314,55.9,58.2,194.322488267471,135.648071152742,,7046313
"Adhoc",1960,779707,177635,0,0,,,,
"World",1960,218284503,44397517,56.5,58.8,190.900606448908,133.26650584975,9989099,7043103
"Adhoc",1961,806891,181588,100,100,359.241550835046,247.56083939067,,
"World",1961,219908162,45593813,57.7,58.9,188.483161595222,131.648621364105,10035262,7083109
"Adhoc",1962,829131,185852,100,100,353.469485907087,243.513762836399,,57362
"World",1962,224105162,47394034,58.1,58.3,186.490947450095,130.273020376801,10104527,7136273
"Adhoc",1963,849011,190462,100,100,348.219101216778,239.737044227402,,57739
"World",1963,230147957,49510834,58.8,58.1,184.395026122673,128.67126869005,10167179,7173294
"Adhoc",1964,869465,195498,100,100,342.782354307439,235.714800126347,,58084
"World",1964,236584771,51553560,61.9,60.6,182.14506909848,126.423207257435,10207720,7166115
"Adhoc",1965,893550,201014,100,100,337.218739827119,231.592873359124,,58404
"World",1965,242489468,53238663,61.5,59.8,179.266726085153,124.562739123914,10207034,7167396
"Adhoc",1966,922791,205918,100,100,331.69104007932,227.770409038401,85022,58793
"World",1966,249764016,54186917,62,60.6,176.931231677714,122.941138295905,10217168,7171503
"Adhoc",1967,948159,211276,100,100,326.292643157537,223.716481178032,85559,59123
"World",1967,254948922,54807908,62,60.9,174.620801675756,121.227179618921,10213423,7156650
"Adhoc",1968,972183,217164,100,100,320.784628370969,219.753926712703,86141,59508
"World",1968,258557282,55179318,64.2,63.4,171.979532624524,119.349160379523,10171533,7118863
"Adhoc",1969,997931,223692,100,100,315.149532570687,215.753790408578,86646,59835
"World",1969,261609248,55436350,91.2,91.8,153.013572724615,106.160496245525,9088205,6381244
"Adhoc",1970,1028581,230854,100,100,309.649533982822,211.913539744214,87219,60245
"World",1970,264962751,55696314,93.1,93.2,149.741223633733,104.332546511015,8986089,6320776
"Adhoc",1971,1065622,237485,100,100,304.120457028633,207.775567694825,87693,60495
"World",1971,268724902,55910133,95.1,95,147.087267750499,102.580934295031,8878823,6238531
"Adhoc",1972,1099003,244495,100,100,298.395224021905,203.780395624907,88096,60749
"World",1972,271516759,56169699,95.5,95.4,144.32025350301,100.713181091173,8739516,6134929
"Adhoc",1973,1129623,251489,100,100,292.666138440417,199.658779904357,88366,60887
"World",1973,273635529,56410994,95.4,95.3,141.491441477954,98.821935277004,8578253,6019208
"Adhoc",1974,1157722,258006,100,100,286.834157653417,195.52420043431,88507,60926
"World",1974,275120095,56554366,96.9,96.8,137.844432677549,96.5498708473501,8350733,5873614
"Adhoc",1975,1183138,263642,100,100,280.74021473567,191.466867608953,88326,60735
"World",1975,276148202,56562602,97.3,97.2,135.370565658808,94.8411403053157,8191819,5761853
"Adhoc",1976,1217603,271213,100,100,274.645714365844,187.253598751326,87851,60290
"World",1976,277121692,56321107,97.3,97.3,132.311506297019,92.8612077968147,7998834,5637893
"Adhoc",1977,1247993,278152,100,100,268.642864821508,183.056047433388,87038,59579
"World",1977,277024172,55981955,97.6,97.6,129.443948929844,90.9618138737118,7828752,5530860
"Adhoc",1978,1270298,283036,100,100,262.581439521024,178.763579873031,85803,58509
"World",1978,276503847,55732425,97.8,97.8,126.449101040809,88.9882105850864,7670135,5434017
"Adhoc",1979,1277365,284115,100,100,256.11311669566,174.5138858304,84071,57171
"World",1979,276552770,55821065,98.3,98.3,123.310397714279,86.9355954558927,7522827,5348202
"Adhoc",1980,1263724,280510,100,100,249.390719322961,169.908474216359,81813,55465
"World",1980,277927323,56414885,98.7,98.8,120.251481210905,84.8864950426314,7403486,5278414
"Adhoc",1981,1257439,277250,100,100,242.766072163366,165.456314894816,79279,53571
"World",1981,279457625,57550596,99.1,99.1,117.009027894274,82.7382089881133,7296169,5218653
"Adhoc",1982,1233241,270353,100,100,236.092234473579,160.96376804322,76367,51432
"World",1982,282995698,59141769,99.5,99.4,113.837378997331,80.6266075585312,7213911,5174519
"Adhoc",1983,1198168,262084,100,100,229.434558149202,156.512074182935,73267,49198
"World",1983,288064652,61018868,99.4,99.4,110.742583855377,78.5751544509935,7145231,5138638
"Adhoc",1984,1165854,255345,100,100,222.730686567942,152.203016666934,70093,47084
"World",1984,293885042,62939600,99.6,99.5,107.84247076132,76.6649512830558,7090435,5108825
"Adhoc",1985,1151458,252365,100,100,216.084226479943,147.91292467241,67043,45117
"World",1985,300005506,64704135,100,100,105.059314471015,74.7867250095187,7031585,5071399
"Adhoc",1986,1131498,242328,100,100,209.364810115521,143.605718196915,64260,43441
"World",1986,308376742,66205478,100,100,102.621519244225,73.1760572165216,6976228,5033980
"Adhoc",1987,1111055,236519,100,100,202.651283827475,139.258968965486,61891,42121
"World",1987,315529903,67572392,100,100,100.47800612526,71.7476996624595,6910472,4985710
"Adhoc",1988,1103616,236619,100,100,195.94772954041,135.023753570275,60081,41276
"World",1988,321386543,68611029,100,100,98.6858359346167,70.5578118250058,6835852,4928622
"Adhoc",1989,1126850,244741,100,100,189.502232073052,130.837361635915,58905,40871
"World",1989,325779672,69100450,100,100,97.0727729314133,69.4849756287674,6741670,4856597
"Adhoc",1990,1198570,262202,100,100,182.993421704536,126.715412889404,58294,40886
"World",1990,328743580,68920621,100,100,95.6914329921147,68.5446764490204,6633755,4773103
"Adhoc",1991,1270900,275562,100,100,176.80599233476,122.868906487653,58326,41383
"World",1991,332476809,67876075,100,100,94.4099258793559,67.6501979028982,6510777,4678727
"Adhoc",1992,1368219,298133,100,100,170.94244909774,119.212858161227,58911,42214
"World",1992,331956422,66220036,100,100,93.1597138443666,66.7439376403363,6376533,4577313
"Adhoc",1993,1483330,325000,100,100,165.462321055127,115.849662462916,59939,43313
"World",1993,328617860,64280299,100,100,91.8937046279541,65.7778985747101,6239408,4474326
"Adhoc",1994,1594281,349846,100,100,160.088017657676,112.520341486525,61105,44430
"World",1994,324480857,62540354,100,100,90.6836158691071,64.7477131901174,6113328,4373913
"Adhoc",1995,1677482,368489,100,100,155.085718133716,109.385126136845,62434,45581
"World",1995,321065054,61370209,100,100,88.9861282683276,63.5646403575937,5962835,4272225
"Adhoc",1996,1761428,391167,100,100,150.461736707124,106.526875397487,63782,46678
"World",1996,315509133,60965858,100,100,87.0973314693527,62.2834861632716,5813056,4174299
"Adhoc",1997,1829325,407018,100,100,146.02857638876,103.685940297166,64972,47592
"World",1997,312601840,61151614,100,100,85.202324090919,60.8883680373734,5675122,4076754
"Adhoc",1998,1883718,418995,100,100,141.852671856545,100.908859189618,65930,48262
"World",1998,311759019,61772545,100,100,83.1938231017264,59.4220853817362,5537074,3978904
"Adhoc",1999,1939279,431372,100,100,137.668015570149,98.2394061003878,66572,48715
"World",1999,311720249,62567623,100,100,80.8792531819728,57.8807477205046,5385153,3879984
"Adhoc",2000,2012352,446807,100,100,133.548578802877,95.5544172671899,66813,48868
"World",2000,311639517,63334962,100,100,78.3498349608104,56.1551020661218,5225312,3772507
"Adhoc",2001,2096834,459252,100,100,129.418743672411,92.8730077454765,66721,48783
"World",2001,312727683,63997431,100,100,75.7142254450799,54.3520787901822,5062890,3662966
"Adhoc",2002,2183198,474240,100,100,125.19105552896,90.0923651993193,66241,48435
"World",2002,313977594,64659344,100,100,72.9713562201891,52.4952483297109,4897785,3552382
