"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Low income","1950","8138382","1968443","8.18","8.21",,,,
"Lower middle income","1950","51701912","12877604","2.75","2.71",,,,
"Upper middle income","1950","68986441","16704831","7.52","7.42",,,,
"High income","1950","43119848","9289224","70.12","67.33",,"64.8013725624636",,
"Low and middle income","1950","128826735","31550877","5.65","5.54",,,,
"World","1950","174077601","41326365","21.5","19.4",,,,
"Low income","1951","8204499","1969427","17.65","15.84",,,,
"Lower middle income","1951","53657552","13215270","17.32","16.79",,,,
"Upper middle income","1951","72731042","17479543","10.95","10.82",,,,
"High income","1951","44167772","9182843","74.15","72.17","87.4323325694574","66.7479684154768",,"635186"
"Low and middle income","1951","134593093","32664240","13.9","13.54",,,,
"World","1951","180898041","42327367","28.4","26.1",,,,
"Low income","1952","8273969","1972385","16.41","13.99",,,,
"Lower middle income","1952","55783665","13598970","18.73","18.6",,,,
"Upper middle income","1952","76775480","18467961","17.87","17.71",,,,
"High income","1952","44279735","9150637","73.73","72.37","80.1857088014469","62.1317994213628",,"588349"
"Low and middle income","1952","140833114","34039315","18.12","17.85",,,,
"World","1952","187265080","43686439","31.1","29.1",,,,
"Low income","1953","8408815","2029722","23.01","21.6",,,,
"Lower middle income","1953","58118602","14010141","72.16","72.02","273.767210032474","176.398733051972",,
"Upper middle income","1953","80808046","19171615","23.65","23.7",,,,
"High income","1953","44289099","9153183","73.52","72.78","74.3113356894598","58.0922138470882",,"549322"
"Low and middle income","1953","147335463","35211478","42.75","42.81",,,,
"World","1953","193805821","44877785","49.6","48.7",,,,
"Low income","1954","8600296","2095091","26.3","25.96",,,,
"Lower middle income","1954","60310332","14410387","77.02","76.62","265.624629066739","171.346995048158",,"2719166"
"Upper middle income","1954","84345002","19383069","27.09","27.77",,,,
"High income","1954","44313197","9203597","74.81","74.26","68.6711977822155","54.2687094073176",,"515371"
"Low and middle income","1954","153255629","35888547","46.69","47.28",,,,
"World","1954","199791582","45621862","52.7","52.5","217.842918268396","144.734487388062",,
"Low income","1955","8812831","2156149","38.25","37.93",,,,
"Lower middle income","1955","62259109","14787583","80.78","80.56","262.606616625027","169.949411922713",,"2761762"
"Upper middle income","1955","87534459","19973787","27.7","28.35",,,,
"High income","1955","44420947","9271049","77","76.49","66.5507001925516","53.2439024054767",,"508276"
"Low and middle income","1955","158606399","36917518","49.12","49.82",,,,
"World","1955","205311492","46734553","54.9","54.9","213.265291325659","142.544356511737",,"7134344"
"Low income","1956","9057192","2207129","41.99","41.45",,,,
"Lower middle income","1956","64200684","15123305","81.74","81.59","258.685185473568","167.119524745646",,"2772248"
"Upper middle income","1956","90008187","19973739","28.38","29.73",,,,
"High income","1956","44672758","9295951","76.99","76.78","63.3828178364734","50.8696579480439","605718","488749"
"Low and middle income","1956","163266062","37304173","50.12","51.45","242.275990734968","160.138347995171",,
"World","1956","210302215","47162399","55.6","56.2","209.167267699186","139.398550898019",,"7039043"
"Low income","1957","9352273","2274019","52.07","51.8","275.409097548853","161.211446828058",,
"Lower middle income","1957","66123765","15495412","83.24","83","253.00440901617","164.117845123048",,"2785306"
"Upper middle income","1957","92173145","20548398","29.06","30.18",,,,
"High income","1957","45043550","9362776","76.96","76.8","60.5897209359896","48.9420994638837","582292","472607"
"Low and middle income","1957","167649183","38317829","51.71","52.82","238.241970857532","158.066117029748",,"6549188"
"World","1957","215119066","48253844","56.8","57.2","205.913950406855","138.045132948964",,"7109979"
"Low income","1958","9659598","2347095","57.02","57.23","282.270510108109","166.405107886363",,"431150"
"Lower middle income","1958","67990114","15851674","83.2","82.85","247.818866107705","160.911585997325","4244626","2788963"
"Upper middle income","1958","93883089","20758708","30.46","31.62",,,,
"High income","1958","45485319","9456861","92.49","92.35","58.2084479436757","46.8359753213587","564179","456288"
"Low and middle income","1958","171532800","38957477","52.86","54.01","233.701162882915","155.264614086339",,"6520734"
"World","1958","219492735","48998576","60.8","61.1","201.79752001853","134.9308994226",,"7065615"
"Low income","1959","9942981","2388553","58.67","58.35","277.040248180751","164.8738943921",,"431747"
"Lower middle income","1959","69795617","16182852","83.15","82.83","242.870707391105","157.858902907122","4242828","2789056"
"Upper middle income","1959","93388332","19230521","31.55","35.06",,,,
"High income","1959","45833924","9512959","92.55","92.36","55.8873771429923","44.9987180726072","545058","441242"
"Low and middle income","1959","173126930","37801926","53.91","56.98","228.983008804793","152.196328298474",,"6224884"
"World","1959","221505791","47921231","61.6","63.6","196.623420437104","131.462664465848","10113784","6755286"
"Low income","1960","10212483","2432736","58.76","58.1","272.89358933458","162.329919304217",,"433721"
"Lower middle income","1960","71591093","16552642","83.96","83.75","239.397294608124","155.725507431348","4273341","2811020"
"Upper middle income","1960","90425636","17961805","33.54","38.49",,,,
"High income","1960","46081237","9521988","92.44","92.17","53.3137782558378","43.0836718414533","521889","423540"
"Low and middle income","1960","172229211","36947183","55.99","60.06","224.976718195408","149.554217702612",,"6034298"
"World","1960","220948347","47098659","63.3","66.1","192.546586619835","129.050348277379","9848774","6547747"
"Low income","1961","10486752","2486646","62.03","61.48","272.528184500062","161.382008917089",,"439518"
"Lower middle income","1961","73386784","16902983","83.95","84.01","234.973639563773","153.156606947586","4277460","2817640"
"Upper middle income","1961","87215375","17390128","35.81","40.89",,,,
